,comments
201,"Состояние книги идеальное, без дефектов. Само издание в целом понравилось. Размер с энциклопедию, толстый том, но не сильно тяжелый, так как бумага почти газетная, тонкая, держать в руках комфортно, я думала будет хуже. Непривычно, что напечатано в две колонки, но неудобно только в первое время, потом не замечаешь. Иллюстраций не много, но они есть и это хорошо, да и в целом оформление красивое. 
Что касается перевода. Перевод ВК - это целая наука, его изучают уже десятилетия и идеального нет, у каждого есть и плюсы и минусы. Данный перевод КистяМура я выбрала сознательно. Плюсы для меня - очень красивый, не сухой, язык, разница в речи орков, хоббитов и например эльфов, самый главный минус - налет древнерусской старины, былин, вот это бесит.Большое количество ругательств не считаю недостатком, орки есть орки, а на войне и эльф ругнуться может. К некоторым непривычным названиям (Ристания, Раздол) можно привыкнуть.
В целом, достойный экземпляр, но в книжном шкафу его сложно приткнуть :)"
202,"Хорошо оформленная книга. Приятно брать в руки. Читать тоже приятно, шрифт хороший. Листочки беленькие. Даже в подарок можно взять. Хорошая книга."
203,"Хорошее качество, большая, объёмная, для домашнего чтения, для того и покупалась. Спасибо."
204,"Книга хорошая, бумага конечно тонкая, но не газетная, белая. Читать очень приятно. Думаю что и для подарка такая книга сгодится. Для личного пользования отличный вариант."
205,Книга упакована в плёнку. Пришла в отличном состоянии. Шрифт хороший.
206,"Мне книга понравилась. Листы качественные, обложка прочная. Размер книги больше стандартного. Пришла в идеальном состоянии. "
207,"Пришла в целости. Приятное оформление, хороший перевод, нормальный шрифт."
208,"Книга хорошая, все нравится с исключением, когда открыла упакобку переплёт порезанный, мелочь, но осадок есть. Как будто её заклеивали"
209,"Отличная книга. Увесистая, хорошая бумага. Взял себе к ознакомлению. Фильмы в свое время не зашли, думаю, книги все-таки с бОльшей вероятностью мне понравятся. Пришла в отличном состоянии, без повреждений.  Wildberries пока радуют"
210,Отличная книга. Даже картинки есть. Удобно читать. Давно мечтала о такой книге.
211,"Книга отличная! Пришла в целости и сохранности, упакованная в пленку. Увесистый том, не для чтения в поездках))"
212,"Книга пришла в отличном состоянии, запакованная. Красивое оформление страниц. На некоторых даже есть картинки. еще понравилось ,что в одной книге сразу 3 части!!В восторге!!!"
213,"Отличная книга! Пришла целая, хорошо упакована."
214,Книга очень  красиво выглядит. На подарок вообще  отлично
215,"Большая книга, красивая, приятно в руках держать. Купила на подарок племяннице, думаю ей понравится."
216,"Книга пришла в заводской пленке, без повреждений. За это отдельное спасибо! Само издание понравилось. Приятно в руках даже подержать. Формат большой. Иллюстрации, конечно, не ах, но все же лучше, чем без них)) Страницы белые, не очень плотные. Обложка качественная, просто отличная. Довольна покупкой!"
217,Хорошее и красивое издание
218,Самая лучшая книга ! Очень интересная и увлекательная:) Пришла в хорошем состоянии. Иллюстраций мало. Страницы ср.плотности.  Спасибо WB:)
219,"Купила эту книгу взамен наших трех томиков в мягкой обложке, зачитанных до дыр( в переводе В.А. Маториной). Читала я своим сынам, тогда шести- и восьмилетнему  каждый вечер, перед сном, и , когда перевернула последнюю страницу, парни, не сговариваясь, заорали "" Давай сначала !"" А сама я познакомилась с хоббитами на страницах журнала ""Пионер"", напечатали тогда небольшой отрывок из первой книги. Читатели постарше должны помнить этот журнал, очень неплохой."
220,"В книге все три части..брала сыну-подростку на подарок..прочитав отзывы о переводе, пригла к выводу, что ланный-Кистяковский и Муравьев, для подростка подходит как нельзя лучше...качество книги на хорошее - переплет, бумага, шрифт,краска не воняет, на обложке тиснение золотого цвета, вообще на подарок за такие деньги супер! Да, и на самой книге указано возрастное ограничение 12+"
